event_id,occurred_at,event_name,actor_id,process_type,process_id,data
019b9ca3-7260-76ca-b73f-926718651275,2026-01-08 08:05:16,pending_discharge_logged,EMP-014,discharge,019b9ca3-7260-7a7f-8c50-7155f4b86f23,"{""bed_board"": ""predicted_discharge"", ""room"": ""R-16""}"
019b9ca3-a910-780b-bd85-f552b1618181,2026-01-08 08:05:30,pending_discharge_logged,EMP-014,discharge,019b9ca3-a910-7d99-a1d1-9264b74b9d77,"{""bed_board"": ""predicted_discharge"", ""room"": ""R-12""}"
019b9cab-bf60-77da-b9d1-66d63e83c3a4,2026-01-08 08:14:20,pending_discharge_logged,EMP-015,discharge,019b9cab-bf60-776b-9bc6-720d6d47e59f,"{""bed_board"": ""predicted_discharge"", ""room"": ""R-07""}"
019b9cb5-c9b0-7df1-9a1e-3dd8d5336ce1,2026-01-08 08:25:18,pending_discharge_logged,EMP-014,discharge,019b9cb5-c9b0-71b7-a70c-87a219fb88c4,"{""bed_board"": ""predicted_discharge"", ""room"": ""R-13""}"
019b9cbe-8028-75dd-b7ca-f70f1b13d7df,2026-01-08 08:34:49,pending_discharge_logged,EMP-014,discharge,019b9cbe-8028-7c30-b5d0-1b0a2f89119e,"{""bed_board"": ""predicted_discharge"", ""room"": ""R-07""}"
019b9cc9-af70-71d0-a3ac-68511e47015c,2026-01-08 08:47:02,pending_discharge_logged,EMP-015,discharge,019b9cc9-af70-7de5-9fee-4817a59d05b6,"{""bed_board"": ""predicted_discharge"", ""room"": ""R-23""}"
019b9cca-6af0-75f6-bb0a-1b308e8ed505,2026-01-08 08:47:50,pending_discharge_logged,EMP-014,discharge,019b9cca-6af0-704c-967d-487edd8f512a,"{""bed_board"": ""predicted_discharge"", ""room"": ""R-17""}"
019b9cd1-3d08-73e6-b2b3-cbee7d6db221,2026-01-08 08:55:17,pending_discharge_logged,EMP-015,discharge,019b9cd1-3d08-7f36-b34d-b0eeaec2de8e,"{""bed_board"": ""predicted_discharge"", ""room"": ""R-02""}"
019b9cd1-4ca8-78ad-baef-4809b1e5e2e2,2026-01-08 08:55:21,pending_discharge_logged,EMP-014,discharge,019b9cd1-4ca8-7233-8283-260b45ff6c84,"{""bed_board"": ""predicted_discharge"", ""room"": ""R-19""}"
019b9cea-5ab8-7494-b700-570dccee396e,2026-01-08 09:22:43,attending_doctor_initiated,EMP-004,discharge,019b9cb5-c9b0-71b7-a70c-87a219fb88c4,"{""clinically_stable"": true, ""order_id"": ""ORD-482495""}"
